SatelliteID,WOST #,Age,Year,Duty Cycle,Colony,Tag Type,Capture,Date tagged,DateStopGPS,Comment
572930,102,Juvenile,2005,UFL,WPB,GPS,Hand,28/04/2005,04/07/2005,good
572931,147,Adult,2005,UFL,Noxubee,GPS,rocket net,16/08/2005,04/06/2012,good
572940,104,Juvenile,2005,UFL,WPB,GPS,Hand,29/04/2005,13/05/2008,good
572950,110,Juvenile,2005,UFL,WPB,GPS,Hand,06/05/2005,28/06/2005,good
572951,150,Adult,2005,UFL,Noxubee,GPS,rocket net,16/08/2005,27/02/2007,good
572960,133,Juvenile,2005,UFL,Harris Neck,GPS,Hand,21/06/2005,24/07/2005,didn't fledge
572970,139,Juvenile,2005,UFL,Chew Mill,GPS,Hand,22/06/2005,27/10/2009,good
572980,107,Juvenile,2005,UFL,WPB,GPS,Hand,05/05/2005,18/06/2005,good
572981,148,Adult,2005,UFL,Harris Neck,GPS,rocket net,27/07/2005,17/06/2006,good
572990,119,Juvenile,2005,UFL,WPB,GPS,Hand,14/05/2005,05/07/2005,good
572991,149,Adult,2005,UFL,Harris Neck,GPS,rocket net,27/07/2005,24/04/2007,good
573000,132,Juvenile,2005,UFL,Harris Neck,GPS,Hand,21/06/2005,03/01/2006,good
573010,134,Juvenile,2005,UFL,Harris Neck,GPS,Hand,21/06/2005,11/07/2005,didn't fledge
721290,200805,Adult,2008,SREL,Jax,GPS,other,04/06/2008,31/12/2012,alive
721300,9994,Adult,2007,SREL,Jax,GPS,other,13/06/2007,19/05/2009,good
721310,200807,Adult,2008,SREL,Jax,GPS,other,26/06/2008,31/12/2012,alive
721320,200806,Adult,2008,SREL,Jax,GPS,other,12/06/2008,05/07/2008,good
723560,200911,Adult,2010,SREL,Corkscrew,GPS,rocket net,17/01/2009,08/08/2012,good
723570,201101,Adult,2011,SREL,ENP,GPS,mist net,19/04/2011,31/12/2012,alive
723580,201104,Adult,2011,SREL,ENP,GPS,mist net,25/04/2011,03/11/2011,good
723600,201103,Adult,2011,SREL,ENP,GPS,mist net,19/04/2011,31/12/2012,alive
723610,200808,Adult,2008,SREL,Jax,GPS,other,07/02/2008,20/10/2010,good
809320,200801,Adult,2008,UFL,WPB,GPS,drop net,15/05/2008,29/05/2009,good
809330,200802,Adult,2008,UFL,WPB,GPS,rocket net,21/05/2008,17/07/2008,good
809340,200803,Adult,2008,UFL,WPB,GPS,rocket net,21/05/2008,12/02/2010,good
851250,200809,Juvenile,2008,SREL,Durango,GPS,Hand,30/06/2008,NA,didn't fledge
851260,200810,Juvenile,2008,SREL,Durango,GPS,Hand,30/06/2008,31/12/2012,alive
910200,200901,Adult,2009,UFL,TamW,GPS,mist net,01/05/2009,31/12/2012,alive
910210,200902,Adult,2009,UFL,TamW,GPS,mist net,01/05/2009,31/12/2012,alive
910220,200903,Adult,2009,UFL,TamW,GPS,mist net,01/05/2009,31/12/2012,alive
910230,200904,Adult,2009,UFL,TamW,GPS,mist net,01/05/2009,31/12/2012,alive
910240,200905,Adult,2009,UFL,TamW,GPS,mist net,01/05/2009,14/12/2009,good
992250,201001,Adult,2010,UFL,ENP,GPS,mist net,01/05/2010,07/06/2012,good
992270,201005,Adult,2010,UFL,WPB,GPS,mist net,18/05/2010,31/12/2012,alive
992280,201004,Adult,2010,UFL,WPB,GPS,mist net,18/05/2010,13/12/2012,good
992290,201009,Adult,2010,UFL,Harris Neck,GPS,rocket net,20/07/2010,31/12/2012,alive
